id,group,layer,base_margin,ablated_margin,delta_margin
ecbc1ab06ad1ed6c53e5293d7a90ebd3,failure,5,-2.8179397583007812,-1.2391471862792969,1.5787925720214844
a943522f7d407cef369d5d3f1bf48589,failure,0,-2.63397216796875,-0.02547454833984375,2.6084976196289062
a943522f7d407cef369d5d3f1bf48589,failure,1,-2.63397216796875,-2.345142364501953,0.2888298034667969
a943522f7d407cef369d5d3f1bf48589,failure,2,-2.63397216796875,-1.0714569091796875,1.5625152587890625
a943522f7d407cef369d5d3f1bf48589,failure,3,-2.63397216796875,-1.0644588470458984,1.5695133209228516
a943522f7d407cef369d5d3f1bf48589,failure,4,-2.63397216796875,-1.4422492980957031,1.1917228698730469
a943522f7d407cef369d5d3f1bf48589,failure,5,-2.63397216796875,-1.2358760833740234,1.3980960845947266
e9d4c747018ff81b8c0aefb5abc3c539,failure,0,2.2532958984375,1.066558837890625,-1.186737060546875
e9d4c747018ff81b8c0aefb5abc3c539,failure,1,2.2532958984375,2.5658570528030396,0.31256115436553955
e9d4c747018ff81b8c0aefb5abc3c539,failure,2,2.2532958984375,-0.41420745849609375,-2.6675033569335938
e9d4c747018ff81b8c0aefb5abc3c539,failure,3,2.2532958984375,0.521240234375,-1.7320556640625
e9d4c747018ff81b8c0aefb5abc3c539,failure,4,2.2532958984375,1.5694026947021484,-0.6838932037353516
e9d4c747018ff81b8c0aefb5abc3c539,failure,5,2.2532958984375,1.1325407028198242,-1.1207551956176758
570be8c1edb8c638603dc5c8cae421cc,failure,0,-1.9069366455078125,-4.321746826171875,-2.4148101806640625
570be8c1edb8c638603dc5c8cae421cc,failure,1,-1.9069366455078125,-1.9603919982910156,-0.053455352783203125
570be8c1edb8c638603dc5c8cae421cc,failure,2,-1.9069366455078125,-1.3317718505859375,0.575164794921875
570be8c1edb8c638603dc5c8cae421cc,failure,3,-1.9069366455078125,-0.3940620422363281,1.5128746032714844
570be8c1edb8c638603dc5c8cae421cc,failure,4,-1.9069366455078125,-0.9957313537597656,0.9112052917480469
570be8c1edb8c638603dc5c8cae421cc,failure,5,-1.9069366455078125,-1.2358760833740234,0.6710605621337891
611a4cc0e288b8a11afa923f48cb2ab4,failure,0,-3.004291534423828,-1.09808349609375,1.9062080383300781
611a4cc0e288b8a11afa923f48cb2ab4,failure,1,-3.004291534423828,-1.1786384582519531,1.825653076171875
611a4cc0e288b8a11afa923f48cb2ab4,failure,2,-3.004291534423828,-3.430419921875,-0.4261283874511719
611a4cc0e288b8a11afa923f48cb2ab4,failure,3,-3.004291534423828,-2.6179237365722656,0.3863677978515625
611a4cc0e288b8a11afa923f48cb2ab4,failure,4,-3.004291534423828,-1.9474239349365234,1.0568675994873047
611a4cc0e288b8a11afa923f48cb2ab4,failure,5,-3.004291534423828,-1.446284294128418,1.5580072402954102
22015315e7ff79386877828b4fa27799,failure,0,-2.745891571044922,-1.3642425537109375,1.3816490173339844
22015315e7ff79386877828b4fa27799,failure,1,-2.745891571044922,-2.2168264389038086,0.5290651321411133
22015315e7ff79386877828b4fa27799,failure,2,-2.745891571044922,0.8819770812988281,3.62786865234375
22015315e7ff79386877828b4fa27799,failure,3,-2.745891571044922,-1.267956256866455,1.4779353141784668
22015315e7ff79386877828b4fa27799,failure,4,-2.745891571044922,-1.3853836059570312,1.3605079650878906
22015315e7ff79386877828b4fa27799,failure,5,-2.745891571044922,-1.2391471862792969,1.506744384765625
